Time Stamp;Signal Strength %;Eeg Power Delta;Eeg Power Theta;Eeg Power Low Alpha;Eeg Power High Alpha;Eeg Power Low Beta;Eeg Power High Beta;Eeg Power Low Gamma;Eeg Power High Gamma;Attention Level;Meditation Level;Blink Strength;Mental Effort;Task Familiarity
2020-04-18 11:42:48;100;656018,00;132904,00;8075,00;12334,00;13214,00;14394,00;1382,00;813,00;0,00;0,00;-1,00;0,00;0,00
2020-04-18 11:42:49;100;608438,00;172065,00;40212,00;22520,00;49502,00;44993,00;9009,00;2353,00;44,00;47,00;-1,00;0,00;0,00
2020-04-18 11:42:50;100;724942,00;8312,00;8003,00;7557,00;1931,00;1679,00;607,00;573,00;37,00;69,00;79,00;0,00;0,00
2020-04-18 11:42:51;100;1863051,00;19415,00;21540,00;14153,00;39263,00;4475,00;3611,00;1774,00;29,00;80,00;-1,00;0,00;0,00
2020-04-18 11:42:52;100;301765,00;34019,00;4044,00;2865,00;6141,00;2943,00;3894,00;1633,00;21,00;70,00;-1,00;0,00;0,00
2020-04-18 11:42:53;100;347740,00;144699,00;49109,00;11806,00;20209,00;21026,00;5046,00;2251,00;13,00;66,00;103,00;0,00;0,00
2020-04-18 11:42:55;100;1659026,00;55072,00;25041,00;25760,00;13324,00;9358,00;1709,00;2331,00;11,00;56,00;-1,00;0,00;0,00
2020-04-18 11:42:56;100;828798,00;84197,00;6017,00;11700,00;5859,00;4389,00;1611,00;667,00;3,00;60,00;147,00;0,00;0,00
2020-04-18 11:42:57;100;20371,00;6287,00;1537,00;5436,00;1579,00;2338,00;925,00;1682,00;11,00;70,00;-1,00;0,00;0,00
2020-04-18 11:42:58;100;244675,00;50915,00;5986,00;5844,00;4018,00;8669,00;2064,00;970,00;26,00;54,00;77,00;0,00;0,00
2020-04-18 11:42:59;100;8812,00;2783,00;2670,00;1406,00;1044,00;1426,00;1185,00;379,00;38,00;56,00;-1,00;0,00;0,00
2020-04-18 11:43:00;100;148510,00;74665,00;14677,00;12090,00;34044,00;18366,00;5582,00;4131,00;57,00;57,00;-1,00;0,00;0,00
2020-04-18 11:43:01;87;1303713,00;7315,00;8308,00;2938,00;1751,00;1582,00;258,00;178,00;57,00;57,00;-1,00;0,00;0,00
2020-04-18 11:43:02;74;379083,00;125010,00;80115,00;57583,00;10709,00;7424,00;2918,00;1790,00;57,00;57,00;-1,00;0,00;0,00
2020-04-18 11:43:03;100;2185398,00;175879,00;22088,00;14652,00;12365,00;5145,00;2422,00;1085,00;35,00;38,00;-1,00;0,00;0,00
2020-04-18 11:43:06;100;166262,00;104986,00;50325,00;22957,00;22190,00;13774,00;8405,00;6704,00;14,00;50,00;-1,00;0,00;0,00
2020-04-18 11:43:07;100;11718,00;5374,00;6731,00;6832,00;10352,00;12636,00;3444,00;2674,00;34,00;63,00;-1,00;0,00;0,00
2020-04-18 11:43:08;100;30421,00;41208,00;16445,00;10799,00;10622,00;9133,00;3913,00;5711,00;54,00;75,00;-1,00;0,00;0,00
2020-04-18 11:43:09;100;630471,00;56246,00;30789,00;8550,00;64984,00;24095,00;12708,00;5115,00;94,00;69,00;-1,00;0,00;0,00
2020-04-18 11:43:10;100;214747,00;93693,00;18125,00;7108,00;3977,00;5996,00;1970,00;1624,00;61,00;57,00;-1,00;0,00;0,00
2020-04-18 11:43:11;100;1092466,00;21271,00;15551,00;7774,00;24144,00;15147,00;7681,00;4784,00;75,00;56,00;-1,00;0,00;0,00
2020-04-18 11:43:12;100;21146,00;6431,00;8492,00;5591,00;8120,00;4882,00;6856,00;1628,00;74,00;70,00;-1,00;0,00;0,00
2020-04-18 11:43:13;100;18875,00;18846,00;779,00;1491,00;1529,00;1193,00;960,00;568,00;48,00;41,00;-1,00;0,00;0,00
2020-04-18 11:43:14;100;147778,00;129749,00;34535,00;14794,00;23969,00;20566,00;14420,00;3910,00;60,00;44,00;-1,00;0,00;0,00
2020-04-18 11:43:15;100;1338922,00;62380,00;12882,00;5216,00;10876,00;9461,00;5853,00;961,00;60,00;44,00;106,00;0,00;0,00
2020-04-18 11:43:16;100;20730,00;3344,00;194,00;490,00;248,00;172,00;135,00;55,00;30,00;34,00;-1,00;0,00;0,00
2020-04-18 11:43:17;100;88733,00;14386,00;3291,00;1357,00;3156,00;3788,00;1577,00;644,00;27,00;16,00;-1,00;0,00;0,00
2020-04-18 11:43:18;100;9772,00;13062,00;8232,00;4735,00;2623,00;1581,00;803,00;259,00;29,00;44,00;-1,00;0,00;0,00
2020-04-18 11:43:19;100;586336,00;36715,00;19257,00;8228,00;12579,00;9711,00;3447,00;1916,00;30,00;51,00;-1,00;0,00;0,00
2020-04-18 11:43:21;100;79658,00;36582,00;3798,00;4219,00;10964,00;11175,00;6537,00;1215,00;56,00;47,00;-1,00;0,00;0,00
2020-04-18 11:43:22;100;21137,00;14303,00;6057,00;8453,00;9415,00;5801,00;3870,00;1941,00;83,00;63,00;-1,00;0,00;0,00
2020-04-18 11:43:24;100;216764,00;61633,00;1996,00;4027,00;9448,00;7627,00;3083,00;1105,00;78,00;20,00;-1,00;0,00;0,00
2020-04-18 11:43:25;100;90695,00;92379,00;19835,00;1055,00;17494,00;8718,00;3661,00;2877,00;63,00;24,00;-1,00;0,00;0,00
2020-04-18 11:43:26;100;74904,00;27276,00;14801,00;10424,00;10839,00;10148,00;16650,00;2420,00;56,00;21,00;-1,00;0,00;0,00
2020-04-18 11:43:27;100;119608,00;35207,00;8862,00;4345,00;17004,00;11735,00;12092,00;3781,00;54,00;29,00;-1,00;0,00;0,00
2020-04-18 11:43:29;100;199381,00;111749,00;66431,00;15466,00;8487,00;16621,00;6982,00;2443,00;67,00;48,00;-1,00;0,00;0,00
2020-04-18 11:43:30;87;1205329,00;7091,00;7224,00;10901,00;751,00;1667,00;474,00;484,00;57,00;48,00;-1,00;0,00;0,00
2020-04-18 11:43:31;100;35288,00;5480,00;4170,00;4599,00;3298,00;2467,00;1382,00;1052,00;67,00;64,00;-1,00;0,00;0,00
2020-04-18 11:43:32;100;11543,00;85414,00;13793,00;21140,00;31923,00;7395,00;9076,00;4742,00;48,00;77,00;-1,00;0,00;0,00
2020-04-18 11:43:33;100;740012,00;248988,00;149903,00;129201,00;31880,00;42223,00;11401,00;2538,00;34,00;81,00;107,00;0,00;0,00
2020-04-18 11:43:34;100;21886,00;898,00;3180,00;2235,00;2472,00;1781,00;1413,00;676,00;48,00;90,00;-1,00;0,00;0,00
